Date,Year,Month,Day,Rainfall_mm,District
2025-06-01,2025,6,1,6.2,Mumbai City
2025-06-02,2025,6,2,1.6,Mumbai City
2025-06-03,2025,6,3,0.4,Mumbai City
2025-06-04,2025,6,4,5.4,Mumbai City
2025-06-05,2025,6,5,16.0,Mumbai City
2025-06-06,2025,6,6,0.0,Mumbai City
2025-06-07,2025,6,7,11.8,Mumbai City
2025-06-08,2025,6,8,41.0,Mumbai City
2025-06-09,2025,6,9,0.0,Mumbai City
2025-06-10,2025,6,10,1.4,Mumbai City
2025-06-11,2025,6,11,0.0,Mumbai City
2025-06-12,2025,6,12,0.1,Mumbai City
2025-06-13,2025,6,13,18.2,Mumbai City
2025-06-14,2025,6,14,25.4,Mumbai City
2025-06-15,2025,6,15,33.6,Mumbai City
2025-06-16,2025,6,16,100.4,Mumbai City
2025-06-17,2025,6,17,62.9,Mumbai City
2025-06-18,2025,6,18,6.8,Mumbai City
2025-06-19,2025,6,19,142.6,Mumbai City
2025-06-20,2025,6,20,1.0,Mumbai City
2025-06-21,2025,6,21,1.0,Mumbai City
2025-06-22,2025,6,22,2.0,Mumbai City
2025-06-23,2025,6,23,6.2,Mumbai City
2025-06-24,2025,6,24,61.2,Mumbai City
2025-06-25,2025,6,25,0.0,Mumbai City
2025-06-26,2025,6,26,3.0,Mumbai City
2025-06-27,2025,6,27,14.6,Mumbai City
2025-06-28,2025,6,28,22.8,Mumbai City
2025-06-29,2025,6,29,5.8,Mumbai City
2025-06-30,2025,6,30,0.6,Mumbai City
2025-07-01,2025,7,1,6.4,Mumbai City
2025-07-02,2025,7,2,7.2,Mumbai City
2025-07-03,2025,7,3,46.4,Mumbai City
2025-07-04,2025,7,4,14.8,Mumbai City
2025-07-05,2025,7,5,9.0,Mumbai City
2025-07-06,2025,7,6,8.4,Mumbai City
2025-07-07,2025,7,7,1.4,Mumbai City
2025-07-08,2025,7,8,0.2,Mumbai City
2025-07-09,2025,7,9,3.0,Mumbai City
2025-07-10,2025,7,10,0.6,Mumbai City
2025-07-11,2025,7,11,0.0,Mumbai City
2025-07-12,2025,7,12,11.4,Mumbai City
2025-07-13,2025,7,13,0.2,Mumbai City
2025-07-14,2025,7,14,14.6,Mumbai City
2025-07-15,2025,7,15,12.2,Mumbai City
2025-07-16,2025,7,16,5.0,Mumbai City
2025-07-17,2025,7,17,0.0,Mumbai City
2025-07-18,2025,7,18,0.0,Mumbai City
2025-07-19,2025,7,19,0.6,Mumbai City
2025-07-20,2025,7,20,1.4,Mumbai City
2025-07-21,2025,7,21,11.2,Mumbai City
2025-07-22,2025,7,22,40.2,Mumbai City
2025-07-23,2025,7,23,86.6,Mumbai City
2025-07-24,2025,7,24,29.0,Mumbai City
2025-07-25,2025,7,25,22.4,Mumbai City
2025-07-26,2025,7,26,17.2,Mumbai City
2025-07-27,2025,7,27,9.0,Mumbai City
2025-07-28,2025,7,28,6.6,Mumbai City
2025-07-29,2025,7,29,2.6,Mumbai City
2025-07-30,2025,7,30,10.8,Mumbai City
2025-07-31,2025,7,31,2.6,Mumbai City
2025-08-01,2025,8,1,0.0,Mumbai City
2025-08-02,2025,8,2,0.0,Mumbai City
2025-08-03,2025,8,3,2.8,Mumbai City
2025-08-04,2025,8,4,0.2,Mumbai City
2025-08-05,2025,8,5,0.0,Mumbai City
2025-08-06,2025,8,6,1.2,Mumbai City
2025-08-07,2025,8,7,10.2,Mumbai City
2025-08-08,2025,8,8,2.6,Mumbai City
2025-08-09,2025,8,9,6.4,Mumbai City
2025-08-10,2025,8,10,1.6,Mumbai City
2025-08-11,2025,8,11,8.4,Mumbai City
2025-08-12,2025,8,12,8.6,Mumbai City
2025-08-13,2025,8,13,5.6,Mumbai City
