Snippet_ID,Related_Date,Severity_Score,Keywords_Found,Snippet_Preview
7,2021-07-18,15,"death, deaths, landslide, landslides, severe, flooding, heavy",Heavy rainfall on 18 July 2021 caused landslides and flooding that resulted in over 20 dea...
8,2021-07-22,9,"landslide, landslides, evacuation, flooding, heavy","Starting on 22 July 2021, Maharashtra saw heavy rainfall across many western districts, wi..."
9,2023-07-20,8,"landslide, severe, disruption, flooding, heavy","On 20 July 2023, heavy rain triggered a landslide and severe flooding conditions, primaril..."
5,2021-06-09,8,"fatalities, collapse, waterlogging, heavy","The Southwest Monsoon arrived in Mumbai with dramatic effect on 9 June 2021, bringing heav..."
3,2019-07-02,7,"severe, extreme, disrupted, flooding, waterlogging","On 2nd July 2019, Mumbai recorded extreme rainfall of 200.12 mm in a single day, leading t..."
4,2020-09-24,7,"died, extreme, inundated, heavy","Local media reported that 2 people died in a flooded building in Agripada, Mumbai on 24 Se..."
6,2021-07-16,4,"extreme, flooding, waterlogging","An extreme rainfall day of 199.87 mm was recorded on 16th July 2021, contributing to signi..."
2,2018-06-25,4,"extreme, disruption, waterlogging","An extreme rainfall event of 153.14 mm occurred on 25th June 2018, causing significant wat..."
10,General,4,"severe, flooding, waterlogging",Severe waterlogging has repeatedly been reported from chronic flooding spots including Dad...
1,2018-06-25,3,"severe, waterlogging","On 24 June 2018, Mumbai received over 150 mm of rainfall over a 24 hour period, 438 percen..."
11,General,3,"flooding, waterlogging, heavy","BMC identified 221 spots citywide prone to waterlogging and flooding, with wards H-East, K..."
12,General,1,flooding,"BMC data indicates that 35 percent of Mumbai's population is at flood risk overall, with w..."
